"filename", "language", "JSON", "Markdown", "Groovy", "Java Properties", "JSON with Comments", "Java", "Batch", "comment", "blank", "total"
"c:\FRCProjects\5454\2025\5454-2025-GameBot\.wpilib\wpilib_preferences.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\FRCProjects\5454\2025\5454-2025-GameBot\WPILib-License.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\FRCProjects\5454\2025\5454-2025-GameBot\build.gradle", "Groovy", 0, 0, 70, 0, 0, 0, 0, 20, 25, 115
"c:\FRCProjects\5454\2025\5454-2025-GameBot\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\FRCProjects\5454\2025\5454-2025-GameBot\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 41, 32, 22, 95
"c:\FRCProjects\5454\2025\5454-2025-GameBot\settings.gradle", "Groovy", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\pathplanner\navgrid.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\pathplanner\settings.json", "JSON with Comments", 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\swerve\controllerproperties.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\swerve\modules\backleft.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\swerve\modules\backright.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\swerve\modules\frontleft.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\swerve\modules\frontright.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\swerve\modules\physicalproperties.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\swerve\modules\pidfproperties.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\deploy\swerve\swervedrive.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\Constants.java", "Java", 0, 0, 0, 0, 0, 87, 0, 6, 22, 115
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\Main.java", "Java", 0, 0, 0, 0, 0, 8, 0, 13, 5, 26
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\Robot.java", "Java", 0, 0, 0, 0, 0, 82, 0, 63, 29, 174
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\RobotContainer.java", "Java", 0, 0, 0, 0, 0, 163, 0, 24, 43, 230
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\Telemetry.java", "Java", 0, 0, 0, 0, 0, 79, 0, 16, 16, 111
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\TunerConstants.java", "Java", 0, 0, 0, 0, 0, 179, 0, 86, 35, 300
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\commands\ApriltagLineupCommand.java", "Java", 0, 0, 0, 0, 0, 142, 0, 4, 27, 173
